Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
K12,1,"87,469","119,681","40,160",198,111,"1,041",32,"1,580","3,514",374,"2,346",N
K13,1,"105,810","134,807","33,785","2,498",-77,685,88,696,"3,079",3,"14,845",N
K14,1,"118,353","166,943","48,077","3,703",155,613,-23,445,"3,019",341,704,N
K15,1,"109,029","163,239","49,670","4,343",199,534,83,"1,040","2,457",906,"8,373",N
K16,1,"114,597","153,490","97,007",832,331,"1,592",81,"1,328","5,341",742,"8,277",N
K17,1,"77,094","120,715","18,339","1,864",139,576,-76,423,"2,102",-177,"12,643",N
K18,1,"89,784","137,771","58,304",257,308,346,"3,788",632,"2,423",209,"2,356",N
K19,1,"74,321","139,935","64,427","4,544",466,870,111,"1,316","2,679",961,"4,637",N
K20,1,"83,966","127,245","45,185",14,331,669,451,"1,962","4,141",132,"8,661",N
K21,1,"78,413","123,876","49,763",689,233,495,-54,482,"1,442",347,505,N
K22,1,"93,122","139,487","43,500",717,19,833,55,722,"4,194",270,"1,206",N
K23,1,"114,405","150,462","75,685",429,394,681,-68,"1,151","3,410",406,"2,516",N
K24,1,"78,802","122,520","42,749",133,123,"1,036",173,"1,295","4,762",190,"13,249",N
L1,1,"90,453","142,893","38,242","3,831",260,"1,165",65,"1,126","4,057",256,"8,288",N
L2,1,"102,569","119,141","16,948","2,199",7,416,198,367,"1,235",51,"1,571",N
L3,1,"86,267","135,186","50,419","3,338",243,503,18,636,692,"1,288","2,469",N
L4,1,"50,943","95,115","2,305",743,-53,22,"2,765",138,0,74,62,N
L5,1,"122,067","159,708","51,167","8,229",124,811,672,"1,084","1,832","1,331","2,413",N
L7,1,"105,147","125,239","22,448","1,679",123,254,-14,157,"3,487",640,"11,394",N
L8,1,"90,700","126,727","36,221",-185,163,497,259,646,"4,754",295,"1,891",N
L9,1,"72,551","136,528","41,535",130,139,499,271,"1,093","3,078",-22,"10,084",N
L10,1,"69,163","129,264","52,645",551,331,692,308,"1,096","3,958",134,"9,052",N
L11,1,"138,251","165,134","92,641","3,275",241,823,532,929,"1,471",381,"2,214",N
L12,1,"85,107","128,273","47,693",388,289,636,-127,954,"4,267",451,"2,095",N
L13,1,"57,110","117,831","35,218",787,149,631,120,"1,052","2,234",240,935,N
L14,1,"109,758","132,202","22,195","2,014",16,318,23,279,"3,402",440,"7,733",N
L15,1,"88,274","148,182","81,083","8,588",279,"1,728",-62,"1,913","2,200","1,486","1,585",N
L16,1,"113,633","138,614","34,397","3,948",180,557,32,418,"1,147",455,"2,513",N
L17,1,"106,238","142,620","47,058","3,705",339,703,192,945,"1,982",963,"2,833",N
L18,1,"106,786","154,885","98,275","6,740",437,"1,231",180,"1,921","5,360","2,015","3,904",Y
L19,1,"123,838","139,875","58,068",485,197,"1,050",148,"1,177","2,140",237,"4,852",N
L20,1,"84,862","139,789","40,647","4,635",272,485,273,617,627,660,"2,348",N
L21,1,"88,302","138,064","30,017",991,-89,579,68,522,"4,136",60,"14,901",N
L22,1,"116,237","130,166","46,274","1,139",52,845,-55,269,"4,291",189,183,N
L23,1,"87,744","113,770","34,181","3,585",178,616,86,547,869,123,"1,109",N
L24,1,"109,054","135,408","49,804",43,59,625,114,948,"3,398",224,956,N
M1,1,"100,626","141,756","51,175",293,274,646,121,"1,679","3,836",-37,"10,677",N
M2,1,"63,332","116,414","36,719","3,150",267,566,307,722,"1,054",909,"4,666",N
M3,1,"89,952","139,893","35,376","1,645",276,545,-14,760,"3,606",224,"6,923",N
M4,1,"64,870","113,669","35,009",900,152,422,71,609,"1,426",294,505,N
M5,1,"103,466","162,293","52,307","5,815",306,681,150,"1,416","9,709",800,"14,353",N
M6,1,"105,299","116,216","25,536","2,274",113,207,-11,181,985,88,"1,634",N
M7,1,"68,797","124,453","21,083","2,463",223,391,240,577,"2,463",278,829,N
M8,1,"56,293","95,623","32,415","1,078",245,416,"2,873","1,055","1,246",316,862,N
M9,1,"57,393","97,108","34,747",681,98,317,"7,634","1,125","2,097",260,822,N
M10,1,"107,328","135,809","37,441","3,554",153,728,107,929,"1,768","1,074","2,936",Y
M11,1,"85,904","109,570","18,978","1,076",11,369,-47,431,"4,197",156,504,N
M12,1,"110,373","162,351","46,868","4,967",514,834,231,"1,895","2,491",268,"9,108",N
M13,1,"29,740","88,702","14,442",41,29,353,117,654,38,141,633,N
M14,1,"81,340","134,985","50,314",346,257,522,-60,"1,403","4,610",80,"6,094",N
M15,1,"91,171","152,876","69,492",180,236,889,239,"1,520","3,882",501,"1,653",N
M16,1,"96,890","138,041","50,592",736,196,"1,475",-3,"1,223","3,105",309,"2,066",N
M17,1,"81,579","133,937","44,715",72,331,438,236,913,"2,765",222,"8,553",N
M18,1,"77,409","136,619","53,630","3,064",142,"1,259",325,"1,901","1,145",600,"4,521",N
